age,gender,location,device_type,ad_type,hour_of_day,budget,avg_competitor_bid,click
56,M,Suburban,Tablet,Text,7,2269.4845722406444,1.3640323224686732,0
46,M,Rural,Tablet,Text,19,2958.1453118302616,1.3940687652197874,0
32,M,Suburban,Tablet,Banner,20,889.201136642851,0.653656675491783,0
60,F,Rural,Tablet,Video,3,2245.5745522391535,1.2858717637837007,0
25,M,Rural,Desktop,Video,3,1884.9923036931077,0.5014727244863046,0
38,F,Urban,Mobile,Banner,10,1695.313611447075,1.4509726627667954,0
56,M,Rural,Tablet,Text,18,2304.601120422685,0.5462314284917106,0
36,M,Suburban,Desktop,Video,3,1096.638253985263,0.12657115132151,0
40,M,Suburban,Desktop,Text,22,1278.2293661739363,1.0950137066706755,0
28,M,Urban,Mobile,Text,5,1461.5280356788583,0.6661925386206041,0
28,F,Rural,Desktop,Video,8,955.990500457576,1.295036674230155,0
41,M,Suburban,Mobile,Video,10,1696.5536450356012,1.517523973590049,0
53,F,Urban,Tablet,Text,11,829.6664356056831,1.6461994179354789,0
57,F,Suburban,Desktop,Video,17,1295.357901050117,1.9648073145959444,0
41,F,Urban,Desktop,Banner,19,782.9057219381642,1.155597303738828,0
20,F,Suburban,Desktop,Video,8,589.7074219994412,1.016704411229526,0
39,F,Rural,Tablet,Text,23,1388.0249078323416,0.5665706188549753,0
19,F,Suburban,Mobile,Text,14,2043.8760925089712,1.5190302221108807,0
41,F,Suburban,Mobile,Text,16,879.7252621158771,1.017139174615301,0
61,M,Urban,Desktop,Text,8,2983.643011734713,0.7213948901628175,0
47,F,Urban,Desktop,Text,12,1185.8708399576767,0.9209786607609386,0
55,M,Urban,Tablet,Text,1,556.7369381441627,0.8039315552948046,0
19,M,Suburban,Tablet,Banner,16,570.0858549347478,1.9591587846801786,0
38,F,Urban,Mobile,Text,17,2166.4215677702678,0.5300666246682149,0
50,F,Rural,Desktop,Text,5,2174.6759123708534,0.8875905676302124,0
29,M,Urban,Desktop,Banner,1,2756.7571251394625,0.6838625359201133,0
39,M,Urban,Desktop,Text,0,727.1032295847774,0.426107147243419,0
61,F,Rural,Desktop,Text,4,1440.9214879057772,0.6690084816178946,1
42,F,Urban,Tablet,Banner,13,2723.1827242842996,1.0297022963731137,0
44,M,Urban,Tablet,Video,17,2494.1932458778574,1.300065792060268,0
59,M,Suburban,Mobile,Video,3,1083.6243503579753,1.2720594994454186,0
45,F,Suburban,Desktop,Text,13,2724.9182426833554,1.5680854710615988,0
33,M,Urban,Tablet,Video,14,2202.0412736476874,0.23542141676568396,0
32,M,Rural,Desktop,Video,23,1160.7926000448592,0.6972815944229023,0
64,F,Urban,Mobile,Banner,21,612.0609583264087,0.7699086786352948,0
61,M,Urban,Desktop,Video,7,1743.6080172212228,1.4152012985121833,0
20,F,Urban,Tablet,Text,20,2282.69403798599,0.4942559201013873,0
54,F,Suburban,Tablet,Banner,1,1171.6104483775848,0.5071758113483668,0
24,F,Rural,Mobile,Video,16,921.8400317068422,0.2808859524601394,0
38,M,Rural,Mobile,Text,23,688.2030735634069,1.1132602978183923,0
26,F,Rural,Desktop,Banner,16,2605.0616199267197,1.480853072608702,0
56,M,Suburban,Desktop,Text,19,636.8285699998595,1.425535990560744,0
35,F,Suburban,Tablet,Video,5,2023.5094196282412,1.511314707731601,0
21,F,Urban,Tablet,Text,5,2408.1080512145,0.4221862591726646,0
42,M,Suburban,Tablet,Video,18,2451.20466894701,1.214455182183942,0
